,artist,title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,dataset,track_link
2015,beastie boys,shake your rump,2qq0RYYIuQxXcOxQKN0drC,0.888,0.699,1.0,-10.425,1.0,0.164,0.0159,0.000306,0.111,0.697,103.066,audio_features,spotify:track:2qq0RYYIuQxXcOxQKN0drC,https://api.spotify.com/v1/tracks/2qq0RYYIuQxXcOxQKN0drC,https://api.spotify.com/v1/audio-analysis/2qq0RYYIuQxXcOxQKN0drC,198253.0,4.0,not_hot,https://open.spotify.com/track/2qq0RYYIuQxXcOxQKN0drC
2016,blind lemon jefferson,see that my grave is kept clean,4brPSVo6F4X8X3OaCeAVR8,0.39,0.184,3.0,-12.308,1.0,0.0412,0.99,0.000399,0.125,0.407,180.061,audio_features,spotify:track:4brPSVo6F4X8X3OaCeAVR8,https://api.spotify.com/v1/tracks/4brPSVo6F4X8X3OaCeAVR8,https://api.spotify.com/v1/audio-analysis/4brPSVo6F4X8X3OaCeAVR8,175360.0,4.0,not_hot,https://open.spotify.com/track/4brPSVo6F4X8X3OaCeAVR8
2017,the house of love,shine on,0jPprFhDpOfkK3AmgYUCKg,0.455,0.763,9.0,-9.651,0.0,0.0365,0.0966,0.00107,0.372,0.289,136.141,audio_features,spotify:track:0jPprFhDpOfkK3AmgYUCKg,https://api.spotify.com/v1/tracks/0jPprFhDpOfkK3AmgYUCKg,https://api.spotify.com/v1/audio-analysis/0jPprFhDpOfkK3AmgYUCKg,240067.0,4.0,not_hot,https://open.spotify.com/track/0jPprFhDpOfkK3AmgYUCKg
2018,willie nelson,blue eyes crying in the rain,2uRVPeQbsEpRQD0DKr1WTo,0.626,0.04,4.0,-19.994,1.0,0.0405,0.928,0.00178,0.11,0.418,117.136,audio_features,spotify:track:2uRVPeQbsEpRQD0DKr1WTo,https://api.spotify.com/v1/tracks/2uRVPeQbsEpRQD0DKr1WTo,https://api.spotify.com/v1/audio-analysis/2uRVPeQbsEpRQD0DKr1WTo,138600.0,4.0,not_hot,https://open.spotify.com/track/2uRVPeQbsEpRQD0DKr1WTo
2019,elvis presley,"baby, let's play house",5j8cflZIx0GwvlkzPImbtK,0.668,0.65,4.0,-9.373,1.0,0.042,0.733,0.0284,0.122,0.961,103.975,audio_features,spotify:track:5j8cflZIx0GwvlkzPImbtK,https://api.spotify.com/v1/tracks/5j8cflZIx0GwvlkzPImbtK,https://api.spotify.com/v1/audio-analysis/5j8cflZIx0GwvlkzPImbtK,139040.0,4.0,not_hot,https://open.spotify.com/track/5j8cflZIx0GwvlkzPImbtK
2020,interpol,pda,286mFeYjBJ9fkioaIzaxoN,0.237,0.911,6.0,-5.833,0.0,0.0708,2.13e-05,0.877,0.0935,0.247,138.227,audio_features,spotify:track:286mFeYjBJ9fkioaIzaxoN,https://api.spotify.com/v1/tracks/286mFeYjBJ9fkioaIzaxoN,https://api.spotify.com/v1/audio-analysis/286mFeYjBJ9fkioaIzaxoN,299773.0,4.0,not_hot,https://open.spotify.com/track/286mFeYjBJ9fkioaIzaxoN
2021,sophie tucker,some of these days,6Dcrrk5xK4d6VCsAyCl5Me,0.491,0.301,9.0,-9.791,0.0,0.0381,0.984,7.75e-05,0.13,0.739,145.927,audio_features,spotify:track:6Dcrrk5xK4d6VCsAyCl5Me,https://api.spotify.com/v1/tracks/6Dcrrk5xK4d6VCsAyCl5Me,https://api.spotify.com/v1/audio-analysis/6Dcrrk5xK4d6VCsAyCl5Me,175560.0,4.0,not_hot,https://open.spotify.com/track/6Dcrrk5xK4d6VCsAyCl5Me
2022,photek,the hidden camera,5N8VkEzambxF3o4hAD1bUE,0.733,0.869,0.0,-5.799,1.0,0.0442,0.000749,0.931,0.0694,0.039,126.339,audio_features,spotify:track:5N8VkEzambxF3o4hAD1bUE,https://api.spotify.com/v1/tracks/5N8VkEzambxF3o4hAD1bUE,https://api.spotify.com/v1/audio-analysis/5N8VkEzambxF3o4hAD1bUE,409000.0,4.0,not_hot,https://open.spotify.com/track/5N8VkEzambxF3o4hAD1bUE
2023,the rolling stones,love in vain,4GNEqWXhKEoMyL3k5wF0r7,0.371,0.482,10.0,-11.795,1.0,0.0355,0.278,0.00468,0.116,0.295,184.36,audio_features,spotify:track:4GNEqWXhKEoMyL3k5wF0r7,https://api.spotify.com/v1/tracks/4GNEqWXhKEoMyL3k5wF0r7,https://api.spotify.com/v1/audio-analysis/4GNEqWXhKEoMyL3k5wF0r7,259107.0,3.0,not_hot,https://open.spotify.com/track/4GNEqWXhKEoMyL3k5wF0r7
2024,katrina and the waves,walking on sunshine,05wIrZSwuaVWhcv5FfqeH0,0.596,0.869,10.0,-11.97,1.0,0.037,0.0116,0.173,0.0678,0.944,109.902,audio_features,spotify:track:05wIrZSwuaVWhcv5FfqeH0,https://api.spotify.com/v1/tracks/05wIrZSwuaVWhcv5FfqeH0,https://api.spotify.com/v1/audio-analysis/05wIrZSwuaVWhcv5FfqeH0,238733.0,4.0,not_hot,https://open.spotify.com/track/05wIrZSwuaVWhcv5FfqeH0
2025,sam cooke,another saturday night,5z8DiKSG4EwxmO6gUi12rZ,0.776,0.659,9.0,-7.767,1.0,0.051,0.434,0.0,0.0868,0.969,123.094,audio_features,spotify:track:5z8DiKSG4EwxmO6gUi12rZ,https://api.spotify.com/v1/tracks/5z8DiKSG4EwxmO6gUi12rZ,https://api.spotify.com/v1/audio-analysis/5z8DiKSG4EwxmO6gUi12rZ,160000.0,4.0,not_hot,https://open.spotify.com/track/5z8DiKSG4EwxmO6gUi12rZ
2026,sasha,xpander,75653mwqn2ikumvrHuhEKf,0.477,0.995,5.0,-5.121,0.0,0.0532,0.000781,0.902,0.136,0.704,128.098,audio_features,spotify:track:75653mwqn2ikumvrHuhEKf,https://api.spotify.com/v1/tracks/75653mwqn2ikumvrHuhEKf,https://api.spotify.com/v1/audio-analysis/75653mwqn2ikumvrHuhEKf,202027.0,4.0,not_hot,https://open.spotify.com/track/75653mwqn2ikumvrHuhEKf
2027,count basie's kansas city seven,lester leaps in,1VlYzeEYNHCPFJPmVIKTNZ,0.751,0.189,2.0,-15.084,0.0,0.0444,0.972,0.87,0.163,0.546,122.853,audio_features,spotify:track:1VlYzeEYNHCPFJPmVIKTNZ,https://api.spotify.com/v1/tracks/1VlYzeEYNHCPFJPmVIKTNZ,https://api.spotify.com/v1/audio-analysis/1VlYzeEYNHCPFJPmVIKTNZ,195120.0,4.0,not_hot,https://open.spotify.com/track/1VlYzeEYNHCPFJPmVIKTNZ
2028,the everly brothers,bird dog,2ZCkqAo0tzzCVOth7ityh5,0.658,0.706,11.0,-9.076,1.0,0.0354,0.686,2.18e-06,0.166,0.965,141.194,audio_features,spotify:track:2ZCkqAo0tzzCVOth7ityh5,https://api.spotify.com/v1/tracks/2ZCkqAo0tzzCVOth7ityh5,https://api.spotify.com/v1/audio-analysis/2ZCkqAo0tzzCVOth7ityh5,136427.0,4.0,not_hot,https://open.spotify.com/track/2ZCkqAo0tzzCVOth7ityh5
